Time,"FBA flux (or, Slope (mean))",dx,piecewise integral,Cumulative,in uM
0.002,4E-05,0.048,0,0,0
0.05,0.000997767896029,0.05,1.92E-06,1.92E-06,0.00192
0.1,0.001844024755737,0.4,4.988839480145E-05,5.180839480145E-05,0.05180839480145
0.5,0.004443558383052,0.5,0.000737609902295,0.000789418297096,0.78941829709625
1,0.002791439251466,0.5,0.002221779191526,0.003011197488622,3.01119748862225
1.5,0.000636053939937,0.5,0.001395719625733,0.004406917114355,4.40691711435525
2,-0.00060054032231,0.5,0.000318026969969,0.004724944084324,4.72494408432375
2.5,-0.001202780466102,0.5,-0.000300270161155,0.004424673923169,4.42467392316878
3,-0.001304852287575,0.5,-0.000601390233051,0.003823283690118,3.82328369011794
3.5,-0.00096660311803,0.5,-0.000652426143787,0.00317085754633,3.17085754633048
4,-0.000825536787204,1,-0.000483301559015,0.002687555987315,2.68755598731538
5,-0.000465443943781,1,-0.000825536787204,0.001862019200112,1.8620192001115
6,-0.000413910542932,1,-0.000465443943781,0.00139657525633,1.39657525633005
7,-0.00021139621154,1,-0.000413910542932,0.000982664713398,0.982664713398334
8,-7.91E-05,2,-0.00021139621154,0.000771268501858,0.771268501858129
10,9.44E-06,6,-0.000158124991003,0.000613143510855,0.613143510854923
16,9.25E-05,,5.6639901259814E-05,0.000669783412115,0.669783412114737
